"","id","architecture","evaluated","loss","metric","saved_model"
"23","115","nnnn/nnnnnnnnn/nnn","TRUE","0.0441105948672408","0.990476190476191","nnnn_nnnnnnnnn_nnn-115"
"31","116","nnnn/nnnnnnn/nnn","TRUE","0.0363064913433932","0.990476190476191","nnnn_nnnnnnn_nnn-116"
"7","128","nnnn/nnnnnn/nnn","TRUE","0.0452551156016333","0.980952380952381","nnnn_nnnnnn_nnn-128"
"25","131","nnnn/nnnnnnnnn/nnn","TRUE","0.044053668808192","0.980952380952381","nnnn_nnnnnnnnn_nnn-131"
"51","134","nnnn/nnnnnnnnn/nnn","TRUE","0.0392758515397353","0.980952380952381","nnnn_nnnnnnnnn_nnn-134"
"61","135","nnnn/nnnnnnn/nnn","TRUE","0.0421753629022056","0.980952380952381","nnnn_nnnnnnn_nnn-135"
"71","136","nnnn/nnnnnn/nnn","TRUE","0.0452284295688428","0.980952380952381","nnnn_nnnnnn_nnn-136"
"24","139","nnnn/nnnnnn/nnn","TRUE","0.0344712878089576","0.990476190476191","nnnn_nnnnnn_nnn-139"
"72","144","nnnn/nnnnnnn/nnn","TRUE","0.0449276106343383","0.980952380952381","nnnn_nnnnnnn_nnn-144"
"28","28","nnnn/nnnnnnnnn/nnn","TRUE","0.0440444295427629","0.980952380952381","nnnn_nnnnnnnnn_nnn-28"
"30","30","nnnn/nnnnnnn/nnn","TRUE","0.042792079497927","0.990476190476191","nnnn_nnnnnnn_nnn-30"
"22","35","nnnn/nnnnnnnnn/nnnnn/nnn","TRUE","0.0407630217793797","0.980952380952381","nnnn_nnnnnnnnn_nnnnn_nnn-35"
"6","47","nnnn/nnnnnn/nnn","TRUE","0.0410031369842944","0.990476190476191","nnnn_nnnnnn_nnn-47"
"2","59","nnnn/nnnnnnnnn/nnn","TRUE","0.0404547446096937","0.980952380952381","nnnn_nnnnnnnnn_nnn-59"
"43","69","nnnn/nnnnnn/nnn","TRUE","0.0431822059432133","0.990476190476191","nnnn_nnnnnn_nnn-69"
"82","73","nnnn/nnnnnnnnn/nnn","TRUE","0.0404935725210678","0.980952380952381","nnnn_nnnnnnnnn_nnn-73"
"11","74","nnnn/nnnnnn/nnn","TRUE","0.0432570709359078","0.980952380952381","nnnn_nnnnnn_nnn-74"
"8","8","nnnn/nnnnnn/nnn","TRUE","0.0422371736949398","0.980952380952381","nnnn_nnnnnn_nnn-8"
"12","82","nnnn/nnnnnnn/nnn","TRUE","0.0436486633228404","0.990476190476191","nnnn_nnnnnnn_nnn-82"
"5","86","nnnn/nnnnnnnnn/nnn","TRUE","0.0387425565338206","0.990476190476191","nnnn_nnnnnnnnn_nnn-86"
"86","89","nnnn/nnnnnnnnn/nnn","TRUE","0.0441131238249086","0.990476190476191","nnnn_nnnnnnnnn_nnn-89"
"13","90","nnnn/nnnnnn/nnn","TRUE","0.0418666522861237","0.980952380952381","nnnn_nnnnnn_nnn-90"
"21","91","nnnn/nnnnnnnnn/nnn","TRUE","0.0382363189056161","0.980952380952381","nnnn_nnnnnnnnn_nnn-91"
"3","92","nnnn/nnnnnn/nnn","TRUE","0.0440031653181428","0.990476190476191","nnnn_nnnnnn_nnn-92"
"4","93","nnnn/nnnnnnnnn/nnn","TRUE","0.0452478137842956","0.990476190476191","nnnn_nnnnnnnnn_nnn-93"
