longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;1h_ocean;inland;near_bay;near_ocean
0.420318725;-0.662061637;-0.647058824;-0.697390508;-0.587523277;-0.82056672;-0.619141589;-0.696390395;-0.607420176;0;1;0;0
0.430278884;-0.980871413;-0.019607843;-0.917849331;-0.913718187;-0.846296141;-0.918105575;-0.581274741;-0.783501924;0;0;0;1
0.262948207;-0.725823592;-0.137254902;-0.944859861;-0.917132216;-0.953922475;-0.918105575;-0.729520972;-0.156288015;1;0;0;0
-0.446215139;-0.056323061;-0.490196078;-0.734014955;-0.746741155;-0.852518288;-0.737543167;-0.383415401;0.091958384;0;1;0;0
-0.392430279;0.164718385;-0.411764706;-0.861895315;-0.807572936;-0.812775022;-0.788850518;-0.717603895;-0.623502583;0;1;0;0
-0.896414343;0.98512221;-0.333333333;-0.923597335;-0.889509621;-0.963171614;-0.915474429;-0.63723259;-0.580616162;1;0;0;0
0.201195219;-0.670563231;0.294117647;-0.924919884;-0.79081316;-0.88940273;-0.785561585;-0.785409856;-0.134020066;1;0;0;0
0.249003984;-0.721572795;-0.176470588;-0.946436747;-0.936995655;-0.961938395;-0.929287946;-0.241375981;-0.272988565;1;0;0;0
0.193227092;-0.717321998;-0.176470588;-0.892568289;-0.832402235;-0.927296169;-0.823384312;-0.597122798;0.134020066;1;0;0;0
0.410358566;-0.861849097;-0.725490196;-0.950607864;-0.910614525;-0.963003447;-0.931590199;-0.693231817;-0.48742067;0;0;0;1
-0.651394422;0.211477152;-0.411764706;-0.866778575;-0.871198014;-0.930267104;-0.873376089;-0.398573813;-0.243710335;1;0;0;0
0.316733068;-0.770456961;-0.411764706;-0.789816369;-0.770639354;-0.882283696;-0.755303404;-0.284451249;-0.107628422;1;0;0;0
0.169322709;-0.687566419;0.176470588;-0.907065466;-0.858162632;-0.959864346;-0.87140273;-0.462062592;0.397111764;1;0;0;0
0.388446215;-0.713071201;-0.568627451;-0.798463808;-0.837678461;-0.904481628;-0.819766486;-0.356905422;0.042886421;0;1;0;0
-0.555776892;0.039319872;0.37254902;-0.836716008;-0.82867784;-0.918607584;-0.811544154;-0.17792858;0.692780648;0;0;1;0
0.1812749;-0.634431456;0.411764706;-0.909100158;-0.868715084;-0.872417949;-0.865153758;-0.531027158;-0.490307256;1;0;0;0
0.37250996;-0.668437832;0.333333333;-0.953914238;-0.930167598;-0.962779226;-0.933563559;-0.712638446;-0.676285871;0;1;0;0
0.21314741;-0.670563231;0.37254902;-0.821913627;-0.741775295;-0.851509291;-0.741160993;-0.538640846;-0.066391479;1;0;0;0
0.464143426;-0.946865037;0.176470588;-0.834477847;-0.774984482;-0.910759831;-0.768130242;-0.589329802;-0.419379714;1;0;0;0
-0.392430279;0.1434644;0.058823529;-0.831832748;-0.762569832;-0.820734886;-0.763525736;-0.824898967;-0.75711028;0;1;0;0
-0.639442231;0.096705632;0.37254902;-0.797242993;-0.773122284;-0.899660865;-0.767472455;-0.483138164;0.144329302;0;0;0;1
0.173306773;-0.64293305;0.490196078;-0.923800804;-0.896958411;-0.944224894;-0.898700872;-0.522406587;-0.368245904;1;0;0;0
-0.589641434;0.68544102;-0.254901961;-0.854723028;-0.810366232;-0.920457412;-0.806610755;-0.797823478;-0.802058548;0;1;0;0
0.282868526;-0.672688629;0.333333333;-0.926700239;-0.917752948;-0.951904482;-0.914158855;-0.575233445;-0.29113282;1;0;0;0
-0.569721116;0.049946865;0.725490196;-0.955033318;-0.949099938;-0.972588918;-0.943430357;-0.479883036;0.039175096;0;0;1;0
0.207171315;-0.679064825;0.176470588;-0.856757719;-0.611731844;-0.768883657;-0.605656964;-0.785782265;-0.11670055;1;0;0;0
-0.360557769;0.049946865;-0.803921569;-0.909964902;-0.897268777;-0.943496174;-0.89146522;-0.557992304;-0.533606047;0;1;0;0
-0.486055777;0.018065887;-0.68627451;-0.839361107;-0.85505897;-0.9062754;-0.845749054;-0.028372022;0.374843815;1;0;0;0
0.394422311;-0.75770457;-0.647058824;-0.973854214;-0.967101179;-0.984360548;-0.968755139;-0.478779603;-0.546389499;1;0;0;0
-0.523904382;0.001062699;0.333333333;-0.948318836;-0.947858473;-0.973037361;-0.943101464;-0.21864526;0.471750632;1;0;0;0
-0.346613546;0.415515409;0.725490196;-0.989724808;-0.98106766;-0.9927128;-0.983555336;-0.931021641;-0.688244585;0;1;0;0
0.252988048;-0.674814028;0.137254902;-0.882700036;-0.791123526;-0.830096135;-0.773063641;-0.738900153;-0.301442056;1;0;0;0
0.065737052;-0.672688629;-0.37254902;-0.907421537;-0.864369957;-0.967768155;-0.904620951;-0.319361112;0.705564101;0;0;0;1
-0.384462151;0.156216791;0.215686275;-0.833562236;-0.745810056;-0.885254632;-0.757605657;-0.775644474;-0.832161517;0;1;0;0
0.418326693;-0.664187035;-0.803921569;-0.773030164;-0.661080074;-0.867653241;-0.687222496;-0.740017379;-0.725357834;0;1;0;0
-0.553784861;0.024442083;0.294117647;-0.919985757;-0.943513346;-0.971523866;-0.941128104;0.749879312;1;0;0;1;0
