"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnnnnnnnnn_nnn_nnnn",0.768713205325894,0.756830594578727,0.745664741262535,0.947933884297521,0.953623186850893,0.953757226122597,13.75
"2","nnnnnnnnnnnnnnnn_nnnnn_nnnn",0.770395288956677,0.775956270147543,0.780346822531926,0.978512396694215,0.979710143372632,0.947976878612717,13.75
"3","nnnnnnnnnnnnnnnn_nnnn_nnnn",0.752733382484911,0.751366118915745,0.722543354323834,0.958677686048933,0.962318839024806,0.930635838494825,12.5
"4","nnnnnnnnnnnnnnnn_nnnnnnnn_nnnn",0.778805720445185,0.78961748373313,0.797687861960747,1,0.988405797101449,0.994219653179191,12.5
"5","nnnnnnnnnnnnnnnn_nn_nnnn",0.726661057859233,0.743169405421273,0.728323700800107,0.930578512593734,0.924637680813886,0.919075144853206,7.5
"6","nnnnnnnnnnnnnnnn_nnnnnnn_nnnn",0.753574420114442,0.765027332501333,0.763005781724963,0.995041321722929,0.988405795546546,0.965317919075145,7.5
"7","nnnnnnnnnnnnnnnn_nnnnnn_nnnn",0.761984861077532,0.76775955665307,0.768786128201237,0.978512396694215,0.979710143372632,0.953757225433526,5
"8","nnnnnnnnnnnnnnnn_nnnnnnnnn_nnnnnnnnn_nnnn",0.772918412723493,0.795081959396112,0.768786128545772,0.98595041322314,0.98260869409727,0.965317919075145,3.75
"9","nnnnnnnnnnnnnnnn_nn_nn_nnnn",0.756938609633755,0.765027332501333,0.71098266033768,0.901652892660504,0.913043479470239,0.907514451556123,2.5
"10","nnnnnnnnnnnnnnnn_nnn_nnn_nnnn",0.726661062320809,0.713114764846739,0.705202313861406,0.935537190181165,0.939130433227705,0.89017341074916,2.5
"11","nnnnnnnnnnnnnnnn_nnnnnnnnn_nnnn",0.755256531015978,0.745901643252764,0.734104047965452,0.994214876033058,0.976811595412268,0.959537572254335,2.5
"12","nnnnnnnnnnnnnnnn_n_nnnn",0.744322966586852,0.718579229761343,0.716763007158489,0.84793388390344,0.889855073673138,0.861271677334185,1.25
"13","nnnnnnnnnnnnnnnn_nn_nnn_nnnn",0.734230430563324,0.748633881084255,0.67630057975736,0.907438016627446,0.910144928745601,0.901734104735314,1.25
"14","nnnnnnnnnnnnnnnn_nnn_nnn_nnn_nnn_nnnn",0.72750210025112,0.743169416169651,0.693641620564323,0.891735537387123,0.918840579364611,0.890173411093695,1.25
"15","nnnnnnnnnnnnnnnn_nnnn_nn_nnnn",0.719932707244353,0.71584700267823,0.705202314205941,0.846280992129617,0.878260867664779,0.85549133016884,1.25
"16","nnnnnnnnnnnnnnnn_nnnn_nnnn_nnnn",0.731707317123301,0.71584700267823,0.67052023293655,0.93305785143671,0.927536233093428,0.919075144853206,1.25
"17","nnnnnnnnnnnnnnnn_nnnn_nnnn_nnnn_nnnn",0.730025237402663,0.718579216081588,0.70520231351687,0.942148760429099,0.950724636126256,0.913294798032397,1.25
"18","nnnnnnnnnnnnnnnn_nnnnnn_n_nnnnnn_nnnnnn_n_nnnnnn_nnnnnn_nnnn",0.742640861249752,0.754098345998858,0.716763006813953,0.98595041263202,0.973913041923357,0.971098265895954,1.25
"19","nnnnnnnnnnnnnnnn_nnnnnn_nnnn_nnnn",0.732548363375203,0.734972702675178,0.705202313861406,0.971074379574169,0.973913041923357,0.919075144508671,1.25
"20","nnnnnnnnnnnnnnnn_nnnnnn_nnnnnn_nnnn",0.735071500526746,0.721311478341212,0.71098266033768,0.980165289256198,0.976811592647995,0.942196532136443,1.25
"21","nnnnnnnnnnnnnnnn_nnnnnnn_nnnnnnn_nnnn",0.75777965087265,0.748633881084255,0.745664741262535,0.992561983471074,0.979710143372632,0.976878612716763,1.25
"22","nnnnnnnnnnnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnn",0.803195957780586,0.800546435059094,0.786127168663664,0.993388429752066,0.973913041923357,0.988439306358382,1.25
"23","nnnnnnnnnnnnnnnn_nnnnnnnnnn_nnnn",0.758620686296458,0.76775955665307,0.757225434215083,0.969421487701826,0.962318839024806,0.936416184971098,1.25
"24","nnnnnnnnnnnnnnnn_nnnnnnnnnnnnn_nnnn",0.7939444914197,0.830601100061761,0.780346822187391,0.999173553719008,0.985507244821908,0.982658959537572,1.25
