"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnnnnnnnnn_nnn_nnnn",0.0168349951559296,0.0215766805358755,0.0258269854819597,0.0292316109505217,0.0212640217389605,0.0258974551038872,13.75
"2","nnnnnnnnnnnnnnnn_nnnnn_nnnn",0.0145345859679756,0.0258705197931122,0.0338128953469203,0.0174146603389521,0.0193298190270813,0.0131812186361845,13.75
"3","nnnnnnnnnnnnnnnn_nnnn_nnnn",0.00921700363373371,0.0200695232806366,0.0196115770105335,0.0322994971452535,0.0203036532237174,0.0236374645289235,12.5
"4","nnnnnnnnnnnnnnnn_nnnnnnnn_nnnn",0.0183804148438044,0.0210380575172884,0.0265308891937252,0.0108208720844554,0.00924713920101949,0.0253355383707863,12.5
"5","nnnnnnnnnnnnnnnn_nn_nnnn",0.0052657567353094,0.0156240266289847,0.0204910372249497,0.0344239100695818,0.0162680754407562,0.0257641842725375,7.5
"6","nnnnnnnnnnnnnnnn_nnnnnnn_nnnn",0.00939185181061345,0.0172513926589007,0.0206803974605067,0.00952387465456025,0.00770527634468412,0.00943926683153441,7.5
"7","nnnnnnnnnnnnnnnn_nnnnnn_nnnn",0.00954006081769212,0.0122950730283271,0.0205724050776182,0.00255842648955263,0.00579710144927531,0.011068521327012,5
"8","nnnnnnnnnnnnnnnn_nnnnnnnnn_nnnnnnnnn_nnnn",0.0113774147009819,0.0247917202418142,0.0145468873182397,0.00247933913853544,0.00836739520564672,0.00578034682080925,3.75
"9","nnnnnnnnnnnnnnnn_nn_nn_nnnn",0.029735355659559,0.0367077362176202,0.0245239343640025,0.0157784161965281,0.0122975114369929,0.0245239346076259,2.5
"10","nnnnnnnnnnnnnnnn_nnn_nnn_nnnn",0.00356824233743505,0.00965993676560693,0.00408732267822775,0.0122721010914246,0.00819833753738151,0.00408732243460428,2.5
"11","nnnnnnnnnnnnnnnn_nnnnnnnnn_nnnn",0.00951532869751007,9.67304720823031e-09,0.00817464511283203,0.00467508657459051,1.95463644198431e-09,0.00408732219098088,2.5
"12","nnnnnnnnnnnnnnnn_n_nnnn",NA,NA,NA,NA,NA,NA,1.25
"13","nnnnnnnnnnnnnnnn_nn_nnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"14","nnnnnnnnnnnnnnnn_nnn_nnn_nnn_nnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"15","nnnnnnnnnnnnnnnn_nnnn_nn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"16","nnnnnnnnnnnnnnnn_nnnn_nnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"17","nnnnnnnnnnnnnnnn_nnnn_nnnn_nnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"18","nnnnnnnnnnnnnnnn_nnnnnn_n_nnnnnn_nnnnnn_n_nnnnnn_nnnnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"19","nnnnnnnnnnnnnnnn_nnnnnn_nnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"20","nnnnnnnnnnnnnnnn_nnnnnn_nnnnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"21","nnnnnnnnnnnnnnnn_nnnnnnn_nnnnnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"22","nnnnnnnnnnnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"23","nnnnnnnnnnnnnnnn_nnnnnnnnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
"24","nnnnnnnnnnnnnnnn_nnnnnnnnnnnnn_nnnn",NA,NA,NA,NA,NA,NA,1.25
