"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnnnnnnnnn_nnn_nnnn",0.734689198363145,0.735469444675701,0.69837099470343,0.905259203597355,0.922529644080301,0.899106674236933,13.75
"2","nnnnnnnnnnnnnnnn_nnnnn_nnnn",0.737900453820962,0.739443610481996,0.715186549091239,0.960555972863103,0.957839261024837,0.930635838306896,13.75
"3","nnnnnnnnnnnnnnnn_nnnn_nnnn",0.733473503614695,0.72732240186363,0.700578036198037,0.927355371703786,0.935652172479077,0.910404624587539,12.5
"4","nnnnnnnnnnnnnnnn_nnnnnnnn_nnnn",0.758200167797512,0.756284151311781,0.741040463461352,0.983388429702806,0.971594201931055,0.947398843999543,12.5
"5","nnnnnnnnnnnnnnnn_nn_nnnn",0.720773762611572,0.722677597256957,0.688824664420935,0.877548209333551,0.899999999193754,0.876685934948783,7.5
"6","nnnnnnnnnnnnnnnn_nnnnnnn_nnnn",0.743902442007129,0.734061927417588,0.728323700742685,0.981818181424101,0.978743960316054,0.955684007707129,7.5
"7","nnnnnnnnnnnnnnnn_nnnnnn_nnnn",0.749369217529329,0.750683064832062,0.739884394183324,0.97499999970444,0.971014491198719,0.945086705288446,5
"8","nnnnnnnnnnnnnnnn_nnnnnnnnn_nnnnnnnnn_nnnn",0.761143817683044,0.766848815269157,0.753371870242102,0.983471074183125,0.977777776222874,0.959537572254335,3.75
"9","nnnnnnnnnnnnnnnn_nn_nn_nnnn",0.735912538005887,0.739071043299847,0.69364162004752,0.890495867571555,0.904347825741422,0.890173411093695,2.5
"10","nnnnnnnnnnnnnnnn_nnn_nnn_nnnn",0.724137933967091,0.706284158053945,0.702312140278734,0.926859504280012,0.933333333160566,0.887283237338755,2.5
"11","nnnnnnnnnnnnnnnn_nnnnnnnnn_nnnn",0.74852817756875,0.745901636412886,0.728323700972375,0.990909090613531,0.976811594030131,0.956647399016198,2.5
"12","nnnnnnnnnnnnnnnn_n_nnnn",0.744322966586852,0.718579229761343,0.716763007158489,0.84793388390344,0.889855073673138,0.861271677334185,1.25
"13","nnnnnnnnnnnnnnnn_nn_nnn_nnnn",0.734230430563324,0.748633881084255,0.67630057975736,0.907438016627446,0.910144928745601,0.901734104735314,1.25
"14","nnnnnnnnnnnnnnnn_nnn_nnn_nnn_nnn_nnnn",0.72750210025112,0.743169416169651,0.693641620564323,0.891735537387123,0.918840579364611,0.890173411093695,1.25
"15","nnnnnnnnnnnnnnnn_nnnn_nn_nnnn",0.719932707244353,0.71584700267823,0.705202314205941,0.846280992129617,0.878260867664779,0.85549133016884,1.25
"16","nnnnnnnnnnnnnnnn_nnnn_nnnn_nnnn",0.731707317123301,0.71584700267823,0.67052023293655,0.93305785143671,0.927536233093428,0.919075144853206,1.25
"17","nnnnnnnnnnnnnnnn_nnnn_nnnn_nnnn_nnnn",0.730025237402663,0.718579216081588,0.70520231351687,0.942148760429099,0.950724636126256,0.913294798032397,1.25
"18","nnnnnnnnnnnnnnnn_nnnnnn_n_nnnnnn_nnnnnn_n_nnnnnn_nnnnnn_nnnn",0.742640861249752,0.754098345998858,0.716763006813953,0.98595041263202,0.973913041923357,0.971098265895954,1.25
"19","nnnnnnnnnnnnnnnn_nnnnnn_nnnn_nnnn",0.732548363375203,0.734972702675178,0.705202313861406,0.971074379574169,0.973913041923357,0.919075144508671,1.25
"20","nnnnnnnnnnnnnnnn_nnnnnn_nnnnnn_nnnn",0.735071500526746,0.721311478341212,0.71098266033768,0.980165289256198,0.976811592647995,0.942196532136443,1.25
"21","nnnnnnnnnnnnnnnn_nnnnnnn_nnnnnnn_nnnn",0.75777965087265,0.748633881084255,0.745664741262535,0.992561983471074,0.979710143372632,0.976878612716763,1.25
"22","nnnnnnnnnnnnnnnn_nnnnnnn_nnnnnnn_nnnnnnn_nnnn",0.803195957780586,0.800546435059094,0.786127168663664,0.993388429752066,0.973913041923357,0.988439306358382,1.25
"23","nnnnnnnnnnnnnnnn_nnnnnnnnnn_nnnn",0.758620686296458,0.76775955665307,0.757225434215083,0.969421487701826,0.962318839024806,0.936416184971098,1.25
"24","nnnnnnnnnnnnnnnn_nnnnnnnnnnnnn_nnnn",0.7939444914197,0.830601100061761,0.780346822187391,0.999173553719008,0.985507244821908,0.982658959537572,1.25
