"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnnnnnnnnnnnnnn/nnnnn/nnnn",0.98595041322314,0.983606562262676,0.982658959537572,17.5
"2","nnnnnnnnnnnnnnnn/nnnn/nnnn",0.976450817288221,0.98087431075143,0.953757225778062,16.25
"3","nnnnnnnnnnnnnnnn/nnnnnn/nnnn",0.988429752066116,0.989071048674036,0.959537572598871,15
"4","nnnnnnnnnnnnnnnn/nnnnnnn/nnnn",0.990909090909091,0.982608695652174,0.976878612716763,13.75
"5","nnnnnnnnnnnnnnnn/nnn/nnnn",0.962153076122948,0.969945348677088,0.959537572254335,7.5
"6","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnn",0.99090909031797,0.985507246376812,0.971098265895954,6.25
"7","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.987603305194004,0.986338810842545,0.965317919075145,5
"8","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnn",0.991735537190083,0.978142086599694,0.959537572598871,2.5
"9","nnnnnnnnnnnnnnnn/nnnnnnn/nnnnnnn/nnnn",0.988429752066116,0.985507246376812,0.947976878612717,2.5
"10","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnn",0.986776858913012,0.976811592647995,0.976878612716763,2.5
"11","nnnnnnnnnnnnnnnn/nnnnnnnnnn/nnnn",0.993388429752066,0.98260869409727,0.994219653179191,2.5
"12","nnnnnnnnnnnnnnnn/nn/nnnn",0.916736766457859,0.912568319039267,0.901734104390778,1.25
"13","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.982338114983901,0.969945348677088,0.942196531791908,1.25
"14","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnn",0.983179157075008,0.986338810842545,0.953757225433526,1.25
"15","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnn",0.981497075950728,0.980874324431185,0.936416184971098,1.25
"16","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",0.989256198347107,0.979710143372632,0.947976878612717,1.25
"17","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",0.985123966942149,0.976811592647995,0.953757225433526,1.25
"18","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",0.989256198347107,0.976811594202899,0.947976878612717,1.25
