"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnnnnnnnnnnnnnn/nnnnn/nnnn",0.96467618846011,0.953551897260009,0.919075144508671,17.5
"2","nnnnnnnnnnnnnnnn/nnnn/nnnn",0.949537424152894,0.945355183765536,0.913294798032397,16.25
"3","nnnnnnnnnnnnnnnn/nnnnnn/nnnn",0.978973945516614,0.968115942028986,0.92485549132948,15
"4","nnnnnnnnnnnnnnnn/nnnnnnn/nnnn",0.985123966942149,0.973913041923357,0.936416184971098,13.75
"5","nnnnnnnnnnnnnnnn/nnn/nnnn",0.933557607728559,0.931693994608082,0.907514451556123,7.5
"6","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnn",0.98595041322314,0.971014491198719,0.942196531791908,6.25
"7","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.984020189691532,0.976811592647995,0.936416184971098,5
"8","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnn",0.972245587332094,0.976811592647995,0.953757225433526,2.5
"9","nnnnnnnnnnnnnnnn/nnnnnnn/nnnnnnn/nnnn",0.98595041322314,0.973913041923357,0.92485549132948,2.5
"10","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnn",0.985123966942149,0.973913041923357,0.953757225433526,2.5
"11","nnnnnnnnnnnnnnnn/nnnnnnnnnn/nnnn",0.986776859504132,0.98260869409727,0.971098265895954,2.5
"12","nnnnnnnnnnnnnnnn/nn/nnnn",0.916736766457859,0.912568319039267,0.901734104390778,1.25
"13","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.982338114983901,0.969945348677088,0.942196531791908,1.25
"14","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnn",0.983179157075008,0.986338810842545,0.953757225433526,1.25
"15","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnn",0.981497075950728,0.980874324431185,0.936416184971098,1.25
"16","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",0.989256198347107,0.979710143372632,0.947976878612717,1.25
"17","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",0.985123966942149,0.976811592647995,0.953757225433526,1.25
"18","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",0.989256198347107,0.976811594202899,0.947976878612717,1.25
