"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnnnnnnnnnnnnnn/nnnnn/nnnn",0.00571575327250487,0.00761942873142372,0.0151607388642809,17.5
"2","nnnnnnnnnnnnnnnn/nnnn/nnnn",0.00716565651745706,0.0109508391042199,0.0156258632801345,16.25
"3","nnnnnnnnnnnnnnnn/nnnnnn/nnnn",0.00281192977431886,0.00621179093534184,0.0121583140374299,15
"4","nnnnnnnnnnnnnnnn/nnnnnnn/nnnn",0.00222875978624157,0.0032700065190124,0.0148499798329064,13.75
"5","nnnnnnnnnnnnnnnn/nnn/nnnn",0.01092708574736,0.0150066040346211,0.0189961578121498,7.5
"6","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnn",0.00197311325420873,0.00542269228045533,0.0125314932564691,6.25
"7","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.00154108871181226,0.00422811855773436,0.0128170854486032,5
"8","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnn",0.0137814757095694,0.000940801295574157,0.00408732267822768,2.5
"9","nnnnnnnnnnnnnnnn/nnnnnnn/nnnnnnn/nnnn",0.001753157308727,0.00819834059150094,0.0163492897384173,2.5
"10","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnn",0.00116877112116606,0.00204958487300445,0.0163492897384173,2.5
"11","nnnnnnnnnnnnnnnn/nnnnnnnnnn/nnnn",0.00467508615660529,0,0.0163492897384173,2.5
"12","nnnnnnnnnnnnnnnn/nn/nnnn",NA,NA,NA,1.25
"13","nnnnnnnnnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",NA,NA,NA,1.25
"14","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnn",NA,NA,NA,1.25
"15","nnnnnnnnnnnnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnnnn/nnnn",NA,NA,NA,1.25
"16","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",NA,NA,NA,1.25
"17","nnnnnnnnnnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnn",NA,NA,NA,1.25
"18","nnnnnnnnnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",NA,NA,NA,1.25
