"","architecture","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","NA","percentage"
"1","nnnn_nnnn_nnn",0.699029127370964,0.625,0.133333340287209,0.923809524377187,0.866666674613953,1,18.75
"2","nnnn_nnnnn_nnn",0.689320390085572,0.59375,0.0666666701436043,0.952380952948616,0.866666674613953,1,15
"3","nnnn_nnn_nnn",0.69902912794965,0.65625,0.200000002980232,0.790476191611517,0.766666650772095,0.733333349227905,13.75
"4","nnnn_nn_nnn",0.689320390085572,0.625,0.333333343267441,0.685714287417276,0.633333325386047,0.600000023841858,10
"5","nnnn_n_nnn",0.689320390085572,0.625,0.200000002980232,0.685714287417276,0.666666686534882,0.666666686534882,6.25
"6","nnnn_nnnnnnn_nnn",0.864077670481598,0.78125,0.533333361148834,0.971428571996235,0.866666674613953,1,6.25
"7","nnnn_nnnn_nnnn_nnn",0.825242719603974,0.8125,0.600000023841858,0.971428571428571,0.866666674613953,1,3.75
"8","nnnn_nn_nn_nnn",0.689320390085572,0.625,0.200000002980232,0.914285714853378,0.833333313465118,1,2.5
"9","nnnn_nnnnn_nnnnn_nnn",0.728155340963197,0.6875,0.200000002980232,0.971428571996235,0.933333337306976,1,2.5
"10","nnnn_nnnnnnnnnnn_nnn",0.893203884073832,0.8125,0.400000005960464,0.980952381520044,0.933333337306976,1,2.5
"11","nnnn_nn_nnnnn_nnn",0.689320390085572,0.59375,0.800000011920929,0.914285714853378,0.833333313465118,0.866666674613953,1.25
"12","nnnn_nnn_n_nnn",0.689320390085572,0.6875,0.600000023841858,0.685714287417276,0.633333325386047,0.600000023841858,1.25
"13","nnnn_nnn_nnn_nnn",0.902912621937909,0.875,0.400000005960464,0.961904762472425,0.933333337306976,1,1.25
"14","nnnn_nnn_nnnnnnnn_nnn_nnnnnnnn_nnn",0.864077669902913,0.875,0.333333343267441,0.980952381520044,0.933333337306976,1,1.25
"15","nnnn_nnnnn_n_nnnnn_nnn",0.854368932038835,0.8125,0.333333343267441,0.971428571996235,0.933333337306976,1,1.25
"16","nnnn_nnnnn_nnnnn_nnnnn_nnn",0.718446603677805,0.71875,0.600000023841858,0.971428571996235,0.899999976158142,1,1.25
"17","nnnn_nnnnnn_n_n_nnn",0.708737865235042,0.65625,0.466666668653488,0.761904763607752,0.666666686534882,0.733333349227905,1.25
"18","nnnn_nnnnnn_nnn",0.815533981739896,0.84375,0.466666668653488,0.980952381520044,0.933333337306976,1,1.25
"19","nnnn_nnnnnn_nnnnnn_nnn",0.786407768726349,0.8125,0.600000023841858,0.980952381520044,0.899999976158142,1,1.25
"20","nnnn_nnnnnnn_nnnnnnn_nnn",0.902912621937909,0.8125,0.333333343267441,0.980952381520044,0.933333337306976,1,1.25
"21","nnnn_nnnnnnnn_nnn",0.902912621359223,0.875,0.600000023841858,0.971428571996235,0.933333337306976,1,1.25
"22","nnnn_nnnnnnnnn_nnnnnnnnn_nnnnnnnnn_nnn",0.854368932617521,0.875,0.400000005960464,0.971428571996235,0.933333337306976,1,1.25
"23","nnnn_nnnnnnnnnn_nn_nnnnnnnnnn_nn_nnnnnnnnnn_nnn",0.902912622516595,0.9375,0.600000023841858,0.961904762472425,0.933333337306976,1,1.25
"24","nnnn_nnnnnnnnnn_nnn",0.970873786407767,0.875,0.533333361148834,0.961904762472425,0.933333337306976,1,1.25
"25","nnnn_nnnnnnnnnn_nnnnnnnnnn_nnn",0.912621359223301,0.90625,0.400000005960464,0.980952381520044,0.933333337306976,1,1.25
