"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnn_nnnn_nnn",0.0824195029474611,0.106739070478746,0.17237832643042,0.0154687754781437,0.021081857889206,0,18.75
"2","nnnn_nnnnn_nnn",0.0967632125294824,0.126031492201414,0.195573929134746,0.00948766590376784,0.0222852698775476,0,15
"3","nnnn_nnn_nnn",0.106996521689654,0.115475179348008,0.129957266237412,0.0559912822585398,0.0582575317089833,0.0862226336184453,13.75
"4","nnnn_nn_nnn",0.0840701257439166,0.120958666014174,0.0942809090753387,0.105532109571614,0.118103397153984,0.155328623411217,10
"5","nnnn_n_nnn",0,0,0.173845406824531,0.0510213149939499,0.0380058400103095,0.0557773317776835,6.25
"6","nnnn_nnnnnnn_nnn",0.0462568125286012,0.0778118724874296,0.0365148349905572,0.00521640530957305,0.02981423792293,0,6.25
"7","nnnn_nnnn_nnnn_nnn",0.0498213726346682,0.0625,0,0.00549857415615247,0.0384900156517912,0,3.75
"8","nnnn_nn_nn_nnn",0.0137302279425184,0,0.282842727226016,0.0404061017820884,0.0707106949773942,0,2.5
"9","nnnn_nnnnn_nnnnn_nnn",0.0480558006631634,0.0883883476483184,0.282842727226016,0.00673435029701479,0,0,2.5
"10","nnnn_nnnnnnnnnnn_nnn",0.0274604575218077,0.0883883476483184,0.0942809196120508,0,0,0,2.5
"11","nnnn_nn_nnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"12","nnnn_nnn_n_nnn",NA,NA,NA,NA,NA,NA,1.25
"13","nnnn_nnn_nnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"14","nnnn_nnn_nnnnnnnn_nnn_nnnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"15","nnnn_nnnnn_n_nnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"16","nnnn_nnnnn_nnnnn_nnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"17","nnnn_nnnnnn_n_n_nnn",NA,NA,NA,NA,NA,NA,1.25
"18","nnnn_nnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"19","nnnn_nnnnnn_nnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"20","nnnn_nnnnnnn_nnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"21","nnnn_nnnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"22","nnnn_nnnnnnnnn_nnnnnnnnn_nnnnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"23","nnnn_nnnnnnnnnn_nn_nnnnnnnnnn_nn_nnnnnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"24","nnnn_nnnnnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
"25","nnnn_nnnnnnnnnn_nnnnnnnnnn_nnn",NA,NA,NA,NA,NA,NA,1.25
