"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnn/nnnnn/nnn",0.98253968276044,0.966666665342119,0.996296296517054,22.5
"2","nnnn/nnnn/nnn",0.978711484827581,0.970588235294118,0.976470589637756,21.25
"3","nnnn/nnnnnn/nnn",0.979831932906677,0.962745091494392,0.996078431606293,21.25
"4","nnnn/nnn/nnn",0.97523809546516,0.966666662693024,1,6.25
"5","nnnn/nnnnnnn/nnn",0.98730158768003,0.977777779102325,1,3.75
"6","nnnn/nnnnnnnn/nnn",0.987301587301587,0.955555538336436,1,3.75
"7","nnnn/nnnnn/nnnnn/nnn",0.985714285714286,0.933333337306976,0.966666668653488,2.5
"8","nnnn/nnnnnn/nnnnnn/nnn",0.980952381236213,0.966666668653488,0.966666668653488,2.5
"9","nnnn/nnnnnnnnn/nnn",0.985714285714286,0.983333319425583,1,2.5
"10","nnnn/nnnn/n/nnnn/nnnn/n/nnnn/nnn",0.990476191043854,1,1,1.25
"11","nnnn/nnnn/nnnn/nnn",0.990476190476191,0.966666638851166,1,1.25
"12","nnnn/nnnn/nnnn/nnnn/nnn",0.980952380952381,0.933333337306976,0.933333337306976,1.25
"13","nnnn/nnnn/nnnn/nnnnnn/nnn",0.980952380952381,0.966666638851166,1,1.25
"14","nnnn/nnnnn/n/nnnnn/nnnnn/n/nnnnn/nnn",0.990476190476191,0.933333337306976,0.933333337306976,1.25
"15","nnnn/nnnnnn/nnnnnn/nnnnn/nnn",0.980952380952381,0.933333337306976,1,1.25
"16","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn",0.961904762472425,1,1,1.25
"17","nnnn/nnnnnnnn/nnnnnnnn/nnn",0.990476190476191,0.966666638851166,0.933333337306976,1.25
"18","nnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnn",0.980952380952381,1,1,1.25
"19","nnnn/nnnnnnnnnn/nnn",0.990476190476191,0.933333337306976,0.933333337306976,1.25
"20","nnnn/nnnnnnnnnnnn/nnn",0.980952381520044,1,1,1.25
