"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnn/nnnnn/nnn",0.971428571996235,0.899999976158142,0.933333337306976,22.5
"2","nnnn/nnnn/nnn",0.961904761904762,0.933333337306976,0.933333337306976,21.25
"3","nnnn/nnnnnn/nnn",0.961904761904762,0.933333337306976,0.933333337306976,21.25
"4","nnnn/nnn/nnn",0.961904762472425,0.933333337306976,1,6.25
"5","nnnn/nnnnnnn/nnn",0.980952381520044,0.933333337306976,1,3.75
"6","nnnn/nnnnnnnn/nnn",0.980952380952381,0.933333337306976,1,3.75
"7","nnnn/nnnnn/nnnnn/nnn",0.980952380952381,0.933333337306976,0.933333337306976,2.5
"8","nnnn/nnnnnn/nnnnnn/nnn",0.980952380952381,0.933333337306976,0.933333337306976,2.5
"9","nnnn/nnnnnnnnn/nnn",0.980952380952381,0.966666638851166,1,2.5
"10","nnnn/nnnn/n/nnnn/nnnn/n/nnnn/nnn",0.990476191043854,1,1,1.25
"11","nnnn/nnnn/nnnn/nnn",0.990476190476191,0.966666638851166,1,1.25
"12","nnnn/nnnn/nnnn/nnnn/nnn",0.980952380952381,0.933333337306976,0.933333337306976,1.25
"13","nnnn/nnnn/nnnn/nnnnnn/nnn",0.980952380952381,0.966666638851166,1,1.25
"14","nnnn/nnnnn/n/nnnnn/nnnnn/n/nnnnn/nnn",0.990476190476191,0.933333337306976,0.933333337306976,1.25
"15","nnnn/nnnnnn/nnnnnn/nnnnn/nnn",0.980952380952381,0.933333337306976,1,1.25
"16","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn",0.961904762472425,1,1,1.25
"17","nnnn/nnnnnnnn/nnnnnnnn/nnn",0.990476190476191,0.966666638851166,0.933333337306976,1.25
"18","nnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnn",0.980952380952381,1,1,1.25
"19","nnnn/nnnnnnnnnn/nnn",0.990476190476191,0.933333337306976,0.933333337306976,1.25
"20","nnnn/nnnnnnnnnnnn/nnn",0.980952381520044,1,1,1.25
