"","architecture","acc_train","acc_validation","acc_test","percentage"
"1","nnnn/nnnnn/nnn",0.00673435014747412,0.0361550773806157,0.0157134830897711,22.5
"2","nnnn/nnnn/nnn",0.0114332388217475,0.0330873257597558,0.0328394769140738,21.25
"3","nnnn/nnnnnn/nnn",0.0100352851348178,0.0285830945423055,0.0161690407053389,21.25
"4","nnnn/nnn/nnn",0.0108588133483296,0.0333333313465145,0,6.25
"5","nnnn/nnnnnnn/nnn",0.00549857382841187,0.0384900156517912,0,3.75
"6","nnnn/nnnnnnnn/nnn",0.00549857399228219,0.0192449906195167,0,3.75
"7","nnnn/nnnnn/nnnnn/nnn",0.00673435029701479,0,0.0471404492693133,2.5
"8","nnnn/nnnnnn/nnnnnn/nnn",4.01398611826022e-10,0.0471404492693133,0.0471404492693133,2.5
"9","nnnn/nnnnnnnnn/nnn",0.00673435029701479,0.0235702457080809,0,2.5
"10","nnnn/nnnn/n/nnnn/nnnn/n/nnnn/nnn",NA,NA,NA,1.25
"11","nnnn/nnnn/nnnn/nnn",NA,NA,NA,1.25
"12","nnnn/nnnn/nnnn/nnnn/nnn",NA,NA,NA,1.25
"13","nnnn/nnnn/nnnn/nnnnnn/nnn",NA,NA,NA,1.25
"14","nnnn/nnnnn/n/nnnnn/nnnnn/n/nnnnn/nnn",NA,NA,NA,1.25
"15","nnnn/nnnnnn/nnnnnn/nnnnn/nnn",NA,NA,NA,1.25
"16","nnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnnnnnn/nnn",NA,NA,NA,1.25
"17","nnnn/nnnnnnnn/nnnnnnnn/nnn",NA,NA,NA,1.25
"18","nnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnnnnnnn/nnn",NA,NA,NA,1.25
"19","nnnn/nnnnnnnnnn/nnn",NA,NA,NA,1.25
"20","nnnn/nnnnnnnnnnnn/nnn",NA,NA,NA,1.25
