"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnn/nnnnn/nnnn",0.904685314668642,0.908935128562745,0.90357317687598,0.912097902047884,0.914075887422083,0.913362701996483,22.08
"2","nnnnnnnnn/nnnnnn/nnnn",0.914685314668642,0.916034271755008,0.914831130573461,0.924055944039271,0.927294981669329,0.923641703260686,18.18
"3","nnnnnnnnn/nnnn/nnnn",0.904685314701987,0.905263157923919,0.904552129105032,0.908181818165146,0.910648714839464,0.908957415448645,16.88
"4","nnnnnnnnn/nnnnnnn/nnnn",0.911258741242069,0.91309669525562,0.91238374947568,0.919860139843467,0.921175030643528,0.919236417121299,11.69
"5","nnnnnnnnn/nnnnnnnn/nnnn",0.917902097885425,0.917992656073343,0.920704845902503,0.926713286696614,0.930722154266539,0.929025942329326,9.09
"6","nnnnnnnnn/nnn/nnnn",0.898391608374936,0.900367197077015,0.895741556417808,0.900279720263048,0.901591187299684,0.907488986667441,3.9
"7","nnnnnnnnn/nnnnnnnnn/nnnn",0.925034964984947,0.926070991461251,0.922173274479482,0.934895104845087,0.937821297429621,0.935389133510319,3.9
"8","nnnnnnnnn/nnnn/nnnn/nnnn",0.910419580369562,0.912362301130773,0.908467938984018,0.920559440542768,0.922643818878631,0.917278511787943,2.6
"9","nnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.919999999983327,0.921419828685144,0.923152226912759,0.935244755194737,0.93855569158365,0.936368086322872,2.6
"10","nnnnnnnnn/nnnn/nnnnn/nnnn",0.916013986030659,0.916279069782033,0.913852178256884,0.92426573429908,0.928518971862816,0.923152227000285,1.3
"11","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.915734265717593,0.917258261977678,0.914341654809036,0.930979020929003,0.933170134682696,0.932452276443887,1.3
"12","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.921048951032278,0.92998776011251,0.921194321958679,0.938671328621311,0.943941248470012,0.940773372374734,1.3
"13","nnnnnnnnn/nnnnnn/nnn/nnnnnn/nnnn",0.924895104845087,0.928763769904432,0.930983847370932,0.940979020929003,0.944186046526219,0.942731277328814,1.3
"14","nnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",0.927342657325985,0.930722154251948,0.924131180017063,0.945804195754178,0.948592411275301,0.945668135474724,1.3
"15","nnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnn",0.929440559457232,0.932190942516233,0.927068037579472,0.931468531418514,0.935373317028055,0.931962799891735,1.3
"16","nnnnnnnnn/nnnnnnnnnnnn/nnnn",0.931608391558374,0.932680538599465,0.93587860977072,0.955034965018292,0.953243574065999,0.956926089463955,1.3
