"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnn/nnnnn/nnnn",0.0054836481843313,0.00563442302082478,0.00672931689750032,0.00623776211841621,0.00741576940579651,0.00650163459706916,22.08
"2","nnnnnnnnn/nnnnnn/nnnn",0.00240740586165233,0.00343278834277556,0.00290349852722583,0.00601847894054286,0.00518177918537586,0.00530914468559284,18.18
"3","nnnnnnnnn/nnnn/nnnn",0.00295785523026117,0.00409812985682695,0.00381488873100651,0.00523040293392037,0.00639167062673326,0.00627472174857866,16.88
"4","nnnnnnnnn/nnnnnnn/nnnn",0.00474951376852976,0.00596387406058223,0.00484625444634179,0.00749414531647133,0.00789080875780437,0.00667107850559009,11.69
"5","nnnnnnnnn/nnnnnnnn/nnnn",0.00281574771665136,0.00345536659035666,0.00252538667810059,0.00630928254602721,0.00660760398923878,0.0059259268804323,9.09
"6","nnnnnnnnn/nnn/nnnn",0.0039403592969199,0.00448722222909107,0.00693952359485266,0.00832177624565724,0.0114463264332883,0.00502359409004412,3.9
"7","nnnnnnnnn/nnnnnnnnn/nnnn",0.00150850254680335,0.00411328703749607,0.00515695237629203,0.00385715743787601,0.00270757407737399,0.000565198560364149,3.9
"8","nnnnnnnnn/nnnn/nnnn/nnnn",0.00222516121132744,0.0038081638257652,0.000346112478076787,0.000494480278353364,0.00207718026297148,0.00311500805293564,2.6
"9","nnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.000988960509549393,0.000173098355247649,0.00103833594887893,0.00623045141765325,0.00709703254451773,0.00519167953809582,2.6
"10","nnnnnnnnn/nnnn/nnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
"11","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
"12","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
"13","nnnnnnnnn/nnnnnn/nnn/nnnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
"14","nnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
"15","nnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
"16","nnnnnnnnn/nnnnnnnnnnnn/nnnn",NA,NA,NA,NA,NA,NA,1.3
