"","architecture","partial_acc_train","partial_acc_validation","partial_acc_test","total_acc_train","total_acc_validation","total_acc_test","percentage"
"1","nnnnnnnnn/nnnnn/nnnn",0.914985602625796,0.917863057128159,0.915608534241508,0.924652406391613,0.927842177294339,0.925628401226001,22.08
"2","nnnnnnnnn/nnnnnn/nnnn",0.917922077903023,0.92049309323042,0.918956716326048,0.931758241736806,0.934708865213319,0.93168309915275,18.18
"3","nnnnnnnnn/nnnn/nnnn",0.908622915543427,0.911722060093244,0.90899506766168,0.918084991915756,0.921344506192843,0.919725893478203,16.88
"4","nnnnnnnnn/nnnnnnn/nnnn",0.918958818942146,0.922779817789019,0.919453962145372,0.930777000764033,0.93376852987608,0.930983847477907,11.69
"5","nnnnnnnnn/nnnnnnnn/nnnn",0.923326673314764,0.925511453072077,0.92531990778212,0.937422577410668,0.939604826043548,0.937486889116264,9.09
"6","nnnnnnnnn/nnn/nnnn",0.900839160822488,0.904283965752593,0.901125795321123,0.908578088550301,0.912280701783568,0.911731114296486,3.9
"7","nnnnnnnnn/nnnnnnnnn/nnnn",0.926759906721004,0.92966136273828,0.927068037248821,0.937226107203877,0.940677274606122,0.936041768592263,3.9
"8","nnnnnnnnn/nnnn/nnnn/nnnn",0.911993006951325,0.915055079595841,0.908712677464319,0.920909090900755,0.924112607128325,0.919481155105624,2.6
"9","nnnnnnnnn/nnnnnn/nnnnnn/nnnn",0.920699300665955,0.921542227705952,0.923886441303362,0.939650349642013,0.94357405142218,0.940039158130007,2.6
"10","nnnnnnnnn/nnnn/nnnnn/nnnn",0.916013986030659,0.916279069782033,0.913852178256884,0.92426573429908,0.928518971862816,0.923152227000285,1.3
"11","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.915734265717593,0.917258261977678,0.914341654809036,0.930979020929003,0.933170134682696,0.932452276443887,1.3
"12","nnnnnnnnn/nnnnn/nnnnn/nnnnn/nnnnn/nnnn",0.921048951032278,0.92998776011251,0.921194321958679,0.938671328621311,0.943941248470012,0.940773372374734,1.3
"13","nnnnnnnnn/nnnnnn/nnn/nnnnnn/nnnn",0.924895104845087,0.928763769904432,0.930983847370932,0.940979020929003,0.944186046526219,0.942731277328814,1.3
"14","nnnnnnnnn/nnnnnnnnn/nnnnnnnnn/nnnn",0.927342657325985,0.930722154251948,0.924131180017063,0.945804195754178,0.948592411275301,0.945668135474724,1.3
"15","nnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnnnnnnnn/nnnn",0.929440559457232,0.932190942516233,0.927068037579472,0.931468531418514,0.935373317028055,0.931962799891735,1.3
"16","nnnnnnnnn/nnnnnnnnnnnn/nnnn",0.931608391558374,0.932680538599465,0.93587860977072,0.955034965018292,0.953243574065999,0.956926089463955,1.3
